free_bikes,empty_slots,slots,altitude,ebikes,normal_bikes,renting,returning,uid,Updated,name,distance,popularity,open_now,rating,my_timestamp,cat1_id,cat1_name
9,0,11,0.0,0,9,1,1,7069,1824h,Horseshoe Tavern,43,0.9472590250854124,False,8.5,2022-12-05 11:33:12.140327-05:00,17119.0,Bicycle Store
9,0,11,0.0,0,9,1,1,7069,1824h,The Rivoli,51,0.9658972811171752,True,8.1,2022-12-05 11:33:12.140334-05:00,13309.0,Middle Eastern Restaurant
9,0,11,0.0,0,9,1,1,7069,1824h,Cooney For Hair,75,0.1606810586778351,True,9.1,2022-12-05 11:33:12.140341-05:00,13276.0,Sushi Restaurant
9,0,11,0.0,0,9,1,1,7069,1824h,Te Koop,37,0.8645288161751435,True,7.1,2022-12-05 11:33:12.140348-05:00,17018.0,Bookstore
9,0,11,0.0,0,9,1,1,7069,1824h,Alo,87,0.945304964185922,False,8.4,2022-12-05 11:33:12.140355-05:00,13059.0,Juice Bar
9,0,11,0.0,0,9,1,1,7069,1824h,H&M,28,0.9156891176232644,True,6.4,2022-12-05 11:33:12.140362-05:00,13026.0,BBQ Joint
9,0,11,0.0,0,9,1,1,7069,1824h,A&W Restaurant,37,0.9646090944732436,True,6.5,2022-12-05 11:33:12.140369-05:00,13065.0,Restaurant
9,0,11,0.0,0,9,1,1,7069,1824h,Aloette,101,0.9524179947850222,False,8.6,2022-12-05 11:33:12.140375-05:00,13236.0,Italian Restaurant
9,0,11,0.0,0,9,1,1,7069,1824h,Basil Box,74,0.93194391720756,True,7.4,2022-12-05 11:33:12.140382-05:00,17018.0,Bookstore
9,0,11,0.0,0,9,1,1,7069,1824h,Blueboho,9,0.0438419077608577,False,,2022-12-05 11:33:12.140389-05:00,13035.0,Coffee Shop
9,0,11,0.0,0,9,1,1,7069,1824h,Steve's Music Store,57,0.9267351625168804,True,6.8,2022-12-05 11:33:12.140395-05:00,13263.0,Japanese Restaurant
9,0,11,0.0,0,9,1,1,7069,1824h,Lululemon Athletica,98,0.934563852362609,True,7.8,2022-12-05 11:33:12.140402-05:00,16030.0,Other Great Outdoors
9,0,11,0.0,0,9,1,1,7069,1824h,Brandy Melville,72,0.916771941179033,True,7.1,2022-12-05 11:33:12.140408-05:00,13035.0,Coffee Shop
9,0,11,0.0,0,9,1,1,7069,1824h,Banh Mi Boys,122,0.9749954882351844,True,8.9,2022-12-05 11:33:12.140415-05:00,13027.0,Bistro
9,0,11,0.0,0,9,1,1,7069,1824h,Spoof,21,0.7655811464238819,False,,2022-12-05 11:33:12.140422-05:00,13034.0,Café
9,0,11,0.0,0,9,1,1,7069,1824h,Due West Clothing Co,26,0.9087378882451412,True,5.7,2022-12-05 11:33:12.140429-05:00,11011.0,Car Wash and Detail
9,0,11,0.0,0,9,1,1,7069,1824h,H&M Queen St. Breakroom,25,0.362876576784014,False,,2022-12-05 11:33:12.140435-05:00,13064.0,Pizzeria
9,0,11,0.0,0,9,1,1,7069,1824h,Lush,115,0.9505572807437878,True,8.1,2022-12-05 11:33:12.140441-05:00,11097.0,Professional Cleaning Service
9,0,11,0.0,0,9,1,1,7069,1824h,Lululemon Athletica,98,0.8390949088623507,True,7.5,2022-12-05 11:33:12.140448-05:00,15000.0,Health and Medicine
9,0,11,0.0,0,9,1,1,7069,1824h,Empire Barber Shop,26,0.7135869463753415,False,,2022-12-05 11:33:12.140455-05:00,13064.0,Pizzeria
9,0,11,0.0,0,9,1,1,7069,1824h,Le Gourmand,128,0.9619642668226596,True,8.7,2022-12-05 11:33:12.140461-05:00,13006.0,Beer Bar
9,0,11,0.0,0,9,1,1,7069,1824h,Fresh on Spadina,128,0.935932939617029,True,8.6,2022-12-05 11:33:12.140467-05:00,13305.0,Burrito Restaurant
9,0,11,0.0,0,9,1,1,7069,1824h,Casper,30,0.8273083122265715,True,,2022-12-05 11:33:12.140473-05:00,17029.0,Convenience Store
9,0,11,0.0,0,9,1,1,7069,1824h,Club Monaco,75,0.9039834215979736,True,6.7,2022-12-05 11:33:12.140480-05:00,13064.0,Pizzeria
9,0,11,0.0,0,9,1,1,7069,1824h,Cloud 9,33,0.2824302543390731,False,,2022-12-05 11:33:12.140487-05:00,17029.0,Convenience Store
9,0,11,0.0,0,9,1,1,7069,1824h,Exotix Studios,92,0.1009515156418218,False,7.1,2022-12-05 11:33:12.140494-05:00,17065.0,Farmers' Market
9,0,11,0.0,0,9,1,1,7069,1824h,Dr. Martens,96,0.9291310652121152,True,7.2,2022-12-05 11:33:12.140500-05:00,,
9,0,11,0.0,0,9,1,1,7069,1824h,Buono,37,0.3419295417913884,False,,2022-12-05 11:33:12.140506-05:00,13065.0,Restaurant
9,0,11,0.0,0,9,1,1,7069,1824h,Chick-Fil-A,38,0.96797580449434,True,,2022-12-05 11:33:12.140512-05:00,13033.0,Bubble Tea Shop
